campaign_id,platform,influencer_category,campaign_type,start_date,engagements,estimated_reach,product_sales,campaign_duration_days,end_date
CMP1106,Instagram,Micro,Brand Awareness,2025-07-26,2111,21316,36,31,2025-08-26
CMP1107,Instagram,Micro,Brand Awareness,2025-01-15,2689,33556,55,39,2025-02-23
CMP1108,Instagram,Micro,Product Launch,2026-04-06,3638,34870,145,44,2026-05-20
CMP1109,Instagram,Micro,Product Launch,2025-08-29,3596,32853,132,59,2025-10-27
CMP1110,Instagram,Micro,Giveaway,2025-04-06,3258,21242,37,12,2025-04-18
CMP1111,YouTube,Mega,Brand Awareness,2026-04-30,20470,672604,329,50,2026-06-19
CMP1112,YouTube,Micro,Giveaway,2026-02-11,2834,39338,33,51,2026-04-03
CMP1113,Instagram,Macro,Sponsored Post,2025-08-19,12219,194243,315,38,2025-09-26
CMP1114,YouTube,Micro,Giveaway,2025-06-20,1766,23366,20,51,2025-08-10
CMP1115,Instagram,Macro,Product Launch,2026-06-25,9255,138833,230,53,2026-08-17
CMP1116,YouTube,Mega,Brand Awareness,2025-02-05,15546,519585,329,27,2025-03-04
CMP1117,Instagram,Mid-tier,Sponsored Post,2026-06-09,5839,71259,125,22,2026-07-01
CMP1118,YouTube,Macro,Sponsored Post,2025-06-09,16690,339630,310,60,2025-08-08
CMP1119,YouTube,Micro,Brand Awareness,2025-08-31,1406,27470,21,27,2025-09-27
CMP1120,YouTube,Macro,Product Launch,2025-03-27,7852,230873,219,17,2025-04-13
CMP1121,YouTube,Micro,Brand Awareness,2025-01-28,2274,32613,30,43,2025-03-12
CMP1122,Instagram,Mega,Giveaway,2025-12-06,37285,454869,403,42,2026-01-17
CMP1123,Instagram,Micro,Sponsored Post,2025-11-27,3172,26625,69,41,2026-01-07
CMP1124,YouTube,Mid-tier,Giveaway,2026-05-21,5734,101000,82,25,2026-06-15
CMP1125,Instagram,Macro,Sponsored Post,2025-12-14,10932,166759,273,26,2026-01-09
CMP1126,YouTube,Micro,Sponsored Post,2026-04-18,1502,24558,34,24,2026-05-12
CMP1127,Instagram,Micro,Product Launch,2025-08-19,2742,24410,74,53,2025-10-11
CMP1128,Instagram,Micro,Brand Awareness,2025-07-09,1743,19429,23,47,2025-08-25
CMP1129,Instagram,Micro,Product Launch,2025-08-13,2068,27584,64,55,2025-10-07
CMP1130,Instagram,Mid-tier,Product Launch,2026-01-20,5459,75992,158,20,2026-02-09
CMP1131,YouTube,Micro,Sponsored Post,2026-01-12,1950,28954,33,21,2026-02-02
CMP1132,Instagram,Mid-tier,Brand Awareness,2025-10-10,7157,77269,124,37,2025-11-16
CMP1133,Instagram,Micro,Brand Awareness,2025-09-16,1694,19915,26,7,2025-09-23
CMP1134,Instagram,Macro,Product Launch,2025-12-25,21080,236156,520,59,2026-02-22
CMP1135,Instagram,Micro,Brand Awareness,2026-04-01,1594,21311,25,60,2026-05-31
CMP1136,YouTube,Micro,Product Launch,2026-02-15,2460,43553,68,60,2026-04-16
CMP1137,Instagram,Micro,Product Launch,2025-11-14,2102,23362,75,9,2025-11-23
CMP1138,YouTube,Mid-tier,Giveaway,2025-08-13,4564,76776,64,22,2025-09-04
CMP1139,Instagram,Macro,Product Launch,2025-08-22,16319,197320,563,29,2025-09-20
CMP1140,YouTube,Mid-tier,Giveaway,2026-01-09,4725,79636,57,17,2026-01-26
CMP1141,YouTube,Micro,Product Launch,2026-04-17,2351,28898,63,18,2026-05-05
CMP1142,YouTube,Macro,Product Launch,2025-08-21,13649,283931,365,16,2025-09-06
CMP1143,YouTube,Macro,Product Launch,2025-04-23,16751,323660,454,38,2025-05-31
CMP1144,Instagram,Micro,Giveaway,2026-05-12,2878,21380,31,22,2026-06-03
CMP1145,Instagram,Macro,Giveaway,2026-03-18,20090,190406,271,14,2026-04-01
CMP1146,Instagram,Mega,Brand Awareness,2025-09-25,29110,660479,612,44,2025-11-08
CMP1147,Instagram,Micro,Brand Awareness,2026-05-25,2389,23318,42,18,2026-06-12
CMP1148,YouTube,Macro,Giveaway,2026-01-21,14187,254808,139,30,2026-02-20
CMP1149,YouTube,Macro,Product Launch,2026-01-22,14846,282839,400,34,2026-02-25
CMP1150,Instagram,Mid-tier,Brand Awareness,2025-04-23,5144,83370,69,59,2025-06-21
CMP1151,Instagram,Micro,Sponsored Post,2025-03-22,1837,19149,43,14,2025-04-05
CMP1152,Instagram,Micro,Giveaway,2025-04-23,2712,21029,31,34,2025-05-27
CMP1153,YouTube,Macro,Brand Awareness,2025-01-02,10136,295855,236,42,2025-02-13
CMP1154,YouTube,Mega,Sponsored Post,2025-08-08,20559,609706,471,32,2025-09-09
CMP1155,Instagram,Macro,Sponsored Post,2025-08-13,12324,152126,326,14,2025-08-27
CMP1156,YouTube,Mid-tier,Product Launch,2026-01-20,5644,111930,208,56,2026-03-17
CMP1157,YouTube,Mid-tier,Giveaway,2026-02-07,7825,104079,77,34,2026-03-13
CMP1158,Instagram,Mid-tier,Giveaway,2025-05-10,9616,101164,141,34,2025-06-13
CMP1159,YouTube,Mid-tier,Brand Awareness,2025-02-22,7027,121102,82,43,2025-04-06
CMP1160,YouTube,Micro,Brand Awareness,2026-02-20,1273,22329,20,47,2026-04-08
CMP1161,Instagram,Macro,Brand Awareness,2025-09-04,17808,234238,406,42,2025-10-16
CMP1162,Instagram,Mid-tier,Giveaway,2026-03-15,11425,94339,132,33,2026-04-17
CMP1163,Instagram,Macro,Brand Awareness,2025-07-22,13232,202773,198,60,2025-09-20
CMP1164,Instagram,Micro,Sponsored Post,2025-07-03,2585,24995,57,23,2025-07-26
CMP1165,YouTube,Micro,Giveaway,2025-05-03,1905,25545,30,15,2025-05-18
CMP1166,YouTube,Micro,Product Launch,2026-02-05,1946,39109,59,39,2026-03-16
CMP1167,Instagram,Mid-tier,Giveaway,2025-10-21,11787,100016,129,59,2025-12-19
CMP1168,Instagram,Mega,Product Launch,2025-10-07,22117,405514,937,26,2025-11-02
CMP1169,Instagram,Micro,Giveaway,2025-07-17,2320,21394,22,19,2025-08-05
CMP1170,Instagram,Macro,Giveaway,2026-05-26,20365,206412,382,34,2026-06-29
CMP1171,YouTube,Mid-tier,Product Launch,2025-05-24,5934,111067,181,54,2025-07-17
CMP1172,Instagram,Macro,Brand Awareness,2025-07-20,17680,251144,409,35,2025-08-24
CMP1173,Instagram,Micro,Product Launch,2025-05-04,1802,19124,40,19,2025-05-23
CMP1174,Instagram,Macro,Product Launch,2025-07-06,20064,282695,672,52,2025-08-27
CMP1175,YouTube,Macro,Brand Awareness,2025-11-22,11403,266221,182,41,2026-01-02
CMP1176,Instagram,Micro,Brand Awareness,2026-04-09,1906,21328,26,12,2026-04-21
CMP1177,YouTube,Micro,Sponsored Post,2025-12-15,1332,29316,21,24,2026-01-08
CMP1178,Instagram,Macro,Brand Awareness,2026-02-07,16156,251719,316,57,2026-04-05
CMP1179,YouTube,Mega,Brand Awareness,2025-12-12,18069,508291,351,11,2025-12-23
CMP1180,YouTube,Micro,Giveaway,2026-05-26,3233,45393,47,53,2026-07-18
CMP1181,Instagram,Macro,Product Launch,2025-05-27,19028,233540,555,31,2025-06-27
CMP1182,Instagram,Mega,Sponsored Post,2025-05-28,17854,371662,439,8,2025-06-05
CMP1183,YouTube,Macro,Giveaway,2026-05-04,15042,280100,146,16,2026-05-20
CMP1184,YouTube,Mega,Sponsored Post,2025-12-04,24884,672721,692,36,2026-01-09
CMP1185,Instagram,Macro,Product Launch,2026-04-18,20617,265151,672,56,2026-06-13
CMP1186,Instagram,Mid-tier,Brand Awareness,2025-05-31,6805,76782,129,51,2025-07-21
CMP1187,YouTube,Micro,Brand Awareness,2026-02-19,1280,23443,22,11,2026-03-02
CMP1188,YouTube,Micro,Sponsored Post,2025-10-25,2130,29391,50,39,2025-12-03
CMP1189,Instagram,Macro,Product Launch,2025-09-20,15751,261553,444,60,2025-11-19
CMP1190,YouTube,Macro,Brand Awareness,2025-05-24,8111,224023,159,7,2025-05-31
CMP1191,Instagram,Micro,Sponsored Post,2025-12-12,1977,24546,45,24,2026-01-05
CMP1192,Instagram,Macro,Brand Awareness,2025-01-02,14762,273893,379,38,2025-02-09
CMP1193,Instagram,Macro,Brand Awareness,2025-10-31,11363,210543,180,53,2025-12-23
CMP1194,Instagram,Mid-tier,Product Launch,2025-09-11,8778,92978,336,55,2025-11-05
CMP1195,Instagram,Mid-tier,Sponsored Post,2026-03-29,4469,52627,109,17,2026-04-15
CMP1196,YouTube,Mid-tier,Product Launch,2025-02-06,4541,77599,125,27,2025-03-05
CMP1197,Instagram,Micro,Giveaway,2025-06-09,3237,29953,44,32,2025-07-11
CMP1198,Instagram,Micro,Sponsored Post,2025-01-09,2053,22866,58,31,2025-02-09
CMP1199,Instagram,Micro,Product Launch,2025-08-21,1925,20957,64,28,2025-09-18
CMP1200,Instagram,Micro,Giveaway,2025-04-09,2351,16564,22,33,2025-05-12
CMP1201,YouTube,Mid-tier,Product Launch,2025-07-27,4881,99273,160,55,2025-09-20
CMP1202,Instagram,Mid-tier,Product Launch,2025-05-11,5868,65322,221,19,2025-05-30
CMP1203,Instagram,Micro,Sponsored Post,2026-02-08,2080,20685,52,39,2026-03-19
CMP1204,YouTube,Macro,Sponsored Post,2025-06-01,9905,265832,171,40,2025-07-11
CMP1205,Instagram,Micro,Giveaway,2025-02-23,4674,33875,49,47,2025-04-11
CMP1206,Instagram,Mega,Brand Awareness,2025-04-30,28574,476335,344,41,2025-06-10
CMP1207,Instagram,Mega,Product Launch,2026-02-24,20533,331337,734,7,2026-03-03
CMP1208,Instagram,Micro,Product Launch,2026-02-26,2293,19546,54,27,2026-03-25
CMP1209,Instagram,Mid-tier,Product Launch,2025-04-14,5000,74082,113,54,2025-06-07
CMP1210,Instagram,Micro,Product Launch,2025-09-11,2217,22357,86,12,2025-09-23
CMP1211,YouTube,Mid-tier,Brand Awareness,2025-08-15,4549,97554,82,34,2025-09-18
CMP1212,Instagram,Mid-tier,Brand Awareness,2025-04-22,5301,80924,89,23,2025-05-15
CMP1213,Instagram,Micro,Brand Awareness,2026-05-25,2388,26961,39,11,2026-06-05
CMP1214,YouTube,Mid-tier,Product Launch,2026-04-18,4428,70201,65,37,2026-05-25
CMP1215,Instagram,Micro,Brand Awareness,2025-04-09,1409,21615,29,11,2025-04-20
CMP1216,YouTube,Micro,Sponsored Post,2025-06-02,1342,28227,24,44,2025-07-16
CMP1217,YouTube,Mid-tier,Product Launch,2025-12-04,4870,85790,135,9,2025-12-13
CMP1218,Instagram,Micro,Sponsored Post,2025-06-12,2922,29406,36,59,2025-08-10
CMP1219,YouTube,Mid-tier,Sponsored Post,2025-06-10,5050,93080,116,29,2025-07-09
CMP1220,Instagram,Mid-tier,Product Launch,2026-02-02,6211,66261,170,43,2026-03-17
CMP1221,Instagram,Mega,Sponsored Post,2025-10-04,32794,572928,601,59,2025-12-02
CMP1222,Instagram,Micro,Brand Awareness,2026-05-19,2668,27679,42,43,2026-07-01
CMP1223,Instagram,Mid-tier,Brand Awareness,2026-01-27,5729,79785,89,16,2026-02-12
CMP1224,YouTube,Macro,Brand Awareness,2025-05-15,6694,195087,142,16,2025-05-31
CMP1225,Instagram,Mid-tier,Brand Awareness,2025-07-14,4840,65200,78,25,2025-08-08
CMP1226,Instagram,Mega,Brand Awareness,2026-02-05,26950,528763,634,23,2026-02-28
CMP1227,Instagram,Macro,Brand Awareness,2025-02-02,9727,171294,190,27,2025-03-01
CMP1228,YouTube,Mid-tier,Giveaway,2026-04-05,6393,100832,90,20,2026-04-25
CMP1229,Instagram,Macro,Giveaway,2026-04-15,16938,176743,230,15,2026-04-30
CMP1230,YouTube,Mega,Brand Awareness,2026-01-10,23309,766244,536,52,2026-03-03
CMP1231,Instagram,Mega,Giveaway,2025-01-22,29396,413188,338,7,2025-01-29
CMP1232,YouTube,Macro,Product Launch,2025-02-07,9988,284619,294,57,2025-04-05
CMP1233,YouTube,Macro,Product Launch,2025-08-18,14559,321105,369,51,2025-10-08
CMP1234,YouTube,Micro,Sponsored Post,2025-12-31,1190,24216,30,19,2026-01-19
CMP1235,YouTube,Micro,Brand Awareness,2026-03-14,1353,23176,25,10,2026-03-24
CMP1236,Instagram,Mid-tier,Product Launch,2025-10-10,5760,64949,183,7,2025-10-17
CMP1237,Instagram,Micro,Product Launch,2025-01-27,2859,31283,70,55,2025-03-23
CMP1238,Instagram,Mid-tier,Product Launch,2025-08-14,7730,84336,264,46,2025-09-29
CMP1239,Instagram,Micro,Sponsored Post,2025-10-04,2286,20930,36,38,2025-11-11
CMP1240,Instagram,Micro,Brand Awareness,2025-10-11,2085,22339,45,40,2025-11-20
CMP1241,YouTube,Macro,Sponsored Post,2026-04-26,11485,275688,221,34,2026-05-30
CMP1242,Instagram,Mega,Brand Awareness,2026-03-29,23877,580735,477,37,2026-05-05
CMP1243,Instagram,Micro,Brand Awareness,2026-05-31,1806,17291,26,14,2026-06-14
CMP1244,YouTube,Mid-tier,Brand Awareness,2025-07-11,3836,91648,53,45,2025-08-25
CMP1245,Instagram,Macro,Giveaway,2025-02-18,21669,212057,330,32,2025-03-22
CMP1246,YouTube,Micro,Product Launch,2026-05-27,2045,33901,51,40,2026-07-06
CMP1247,YouTube,Macro,Sponsored Post,2025-01-17,10720,238704,222,60,2025-03-18
CMP1248,YouTube,Mid-tier,Sponsored Post,2025-06-21,7025,121307,111,60,2025-08-20
CMP1249,YouTube,Micro,Brand Awareness,2025-08-08,1265,22543,22,9,2025-08-17
CMP1250,YouTube,Mega,Sponsored Post,2025-06-07,33803,949956,873,56,2025-08-02
CMP1251,YouTube,Micro,Sponsored Post,2026-04-22,1580,28451,30,18,2026-05-10
CMP1252,YouTube,Macro,Giveaway,2025-02-15,11193,216956,180,7,2025-02-22
CMP1253,Instagram,Macro,Product Launch,2026-01-08,21277,276467,673,60,2026-03-09
CMP1254,Instagram,Micro,Brand Awareness,2026-06-02,1913,23206,37,50,2026-07-22
CMP1255,Instagram,Macro,Brand Awareness,2025-04-09,18258,222611,220,11,2025-04-20
CMP1256,Instagram,Mega,Product Launch,2025-02-06,20105,381657,722,36,2025-03-14
CMP1257,YouTube,Micro,Product Launch,2025-10-07,2586,36322,62,36,2025-11-12
CMP1258,YouTube,Macro,Sponsored Post,2025-12-15,11365,262932,243,23,2026-01-07
CMP1259,YouTube,Mid-tier,Product Launch,2026-05-12,5975,104653,159,54,2026-07-05
CMP1260,Instagram,Mid-tier,Giveaway,2025-10-29,13224,99575,174,53,2025-12-21
CMP1261,YouTube,Mid-tier,Sponsored Post,2025-06-30,4523,87966,100,29,2025-07-29
CMP1262,YouTube,Micro,Sponsored Post,2025-04-09,1297,25126,23,21,2025-04-30
CMP1263,YouTube,Mega,Product Launch,2025-04-26,27625,733453,865,43,2025-06-08
CMP1264,YouTube,Mega,Sponsored Post,2025-07-10,15809,499847,442,27,2025-08-06
CMP1265,YouTube,Mid-tier,Product Launch,2025-09-10,4855,82191,94,20,2025-09-30
CMP1266,Instagram,Macro,Product Launch,2025-06-10,12436,148771,342,8,2025-06-18
CMP1267,YouTube,Mid-tier,Giveaway,2025-09-13,4650,78325,50,17,2025-09-30
CMP1268,Instagram,Mid-tier,Brand Awareness,2025-11-19,8685,99033,118,57,2026-01-15
CMP1269,Instagram,Mid-tier,Brand Awareness,2025-05-08,5625,76645,90,45,2025-06-22
CMP1270,YouTube,Mid-tier,Brand Awareness,2025-01-18,4904,101817,91,44,2025-03-03
CMP1271,Instagram,Mid-tier,Product Launch,2025-11-19,7471,74847,297,40,2025-12-29
CMP1272,YouTube,Macro,Product Launch,2025-10-15,16762,352693,461,44,2025-11-28
CMP1273,Instagram,Mid-tier,Brand Awareness,2025-06-04,7258,97001,119,56,2025-07-30
CMP1274,YouTube,Micro,Sponsored Post,2026-05-05,1816,34473,41,40,2026-06-14
CMP1275,Instagram,Micro,Giveaway,2026-01-21,3141,25719,24,24,2026-02-14
CMP1276,YouTube,Mid-tier,Brand Awareness,2025-04-14,4883,89091,60,36,2025-05-20
CMP1277,YouTube,Macro,Brand Awareness,2026-01-28,8829,267024,93,21,2026-02-18
CMP1278,Instagram,Mid-tier,Product Launch,2025-09-03,6787,81033,175,33,2025-10-06
CMP1279,Instagram,Mid-tier,Product Launch,2025-06-25,5784,69489,160,57,2025-08-21
CMP1280,YouTube,Mid-tier,Sponsored Post,2025-02-08,3954,78502,100,40,2025-03-20
CMP1281,Instagram,Mid-tier,Product Launch,2026-04-22,6278,84739,102,58,2026-06-19
CMP1282,Instagram,Micro,Product Launch,2026-06-22,1877,21691,55,44,2026-08-05
CMP1283,Instagram,Mid-tier,Giveaway,2026-02-12,8356,77662,124,39,2026-03-23
CMP1284,Instagram,Macro,Giveaway,2026-06-09,12967,170912,199,30,2026-07-09
CMP1285,YouTube,Macro,Giveaway,2026-05-21,10653,231080,184,21,2026-06-11
CMP1286,YouTube,Mid-tier,Product Launch,2025-02-05,5577,120687,156,36,2025-03-13
CMP1287,Instagram,Micro,Product Launch,2025-01-20,2630,28144,89,48,2025-03-09
CMP1288,Instagram,Micro,Product Launch,2025-11-17,3316,28843,69,57,2026-01-13
CMP1289,YouTube,Micro,Product Launch,2026-05-27,2160,30493,45,23,2026-06-19
CMP1290,Instagram,Mid-tier,Giveaway,2026-02-04,7699,55323,67,11,2026-02-15
CMP1291,Instagram,Micro,Sponsored Post,2026-04-16,3385,29009,83,35,2026-05-21
CMP1292,YouTube,Mid-tier,Giveaway,2025-05-23,6121,83101,76,10,2025-06-02
CMP1293,YouTube,Mid-tier,Sponsored Post,2025-04-02,4627,82460,95,16,2025-04-18
CMP1294,YouTube,Micro,Brand Awareness,2025-12-20,1548,29419,20,23,2026-01-12
CMP1295,YouTube,Mid-tier,Giveaway,2025-02-20,7756,108721,75,16,2025-03-08
